0,3
1,13
2,29
3,51
4,79
5,113
6,153
7,199
8,251
9,309
10,373
11,443
12,519
13,601
14,689
15,783
16,883
17,989
18,1101
19,1219
20,1343
21,1473
22,1609
23,1751
24,1899
25,2053
26,2213
27,2379
28,2551
29,2729
30,2913
31,3103
32,3299
33,3501
34,3709
35,3923
36,4143
37,4369
38,4601
39,4839
40,5083
41,5333
42,5589
43,5851
44,6119
45,6393
46,6673
47,6959
48,7251
49,7549
50,7853
51,8163
52,8479
53,8801
54,9129
55,9463
56,9803
57,10149
58,10501
59,10859
60,11223
61,11593
62,11969
63,12351
64,12739
65,13133
66,13533
67,13939
68,14351
69,14769
70,15193
71,15623
72,16059
73,16501
74,16949
75,17403
76,17863
77,18329
78,18801
79,19279
80,19763
81,20253
82,20749
83,21251
84,21759
85,22273
86,22793
87,23319
88,23851
89,24389
90,24933
91,25483
92,26039
93,26601
94,27169
95,27743
96,28323
97,28909
98,29501
99,30099
