0,3
1,13
2,29
3,51
4,79
5,113
6,153
7,199
8,251
9,309
10,373
11,443
12,519
13,601
14,689
15,783
16,883
17,989
18,1101
19,1219
20,1343
21,1473
22,1609
23,1751
24,1899
25,2053
26,2213
27,2379
28,2551
29,2729
30,2913
31,3103
32,3299
33,3501
34,3709
35,3923
36,4143
37,4369
38,4601
39,4839
40,5083
41,5333
42,5589
43,5851
44,6119
45,6393
46,6673
47,6959
48,7251
49,7549
50,7853
51,8163
52,8479
53,8801
54,9129
55,9463
56,9803
57,10149
58,10501
59,10859
60,11223
61,11593
62,11969
63,12351
64,12739
65,13133
66,13533
67,13939
68,14351
69,14769
70,15193
71,15623
72,16059
73,16501
74,16949
75,17403
76,17863
77,18329
78,18801
79,19279
80,19763
81,20253
82,20749
83,21251
84,21759
85,22273
86,22793
87,23319
88,23851
89,24389
90,24933
91,25483
92,26039
93,26601
94,27169
95,27743
96,28323
97,28909
98,29501
99,30099
100,30703
101,31313
102,31929
103,32551
104,33179
105,33813
106,34453
107,35099
108,35751
109,36409
110,37073
111,37743
112,38419
113,39101
114,39789
115,40483
116,41183
117,41889
118,42601
119,43319
120,44043
121,44773
122,45509
123,46251
124,46999
125,47753
126,48513
127,49279
128,50051
129,50829
130,51613
131,52403
132,53199
133,54001
134,54809
135,55623
136,56443
137,57269
138,58101
139,58939
140,59783
141,60633
142,61489
143,62351
144,63219
145,64093
146,64973
147,65859
148,66751
149,67649
150,68553
151,69463
152,70379
153,71301
154,72229
155,73163
156,74103
157,75049
158,76001
159,76959
160,77923
161,78893
162,79869
163,80851
164,81839
165,82833
166,83833
167,84839
168,85851
169,86869
170,87893
171,88923
172,89959
173,91001
174,92049
175,93103
176,94163
177,95229
178,96301
179,97379
180,98463
181,99553
182,100649
183,101751
184,102859
185,103973
186,105093
187,106219
188,107351
189,108489
190,109633
191,110783
192,111939
193,113101
194,114269
195,115443
196,116623
197,117809
198,119001
199,120199
200,121403
201,122613
202,123829
203,125051
204,126279
205,127513
206,128753
207,129999
208,131251
209,132509
210,133773
211,135043
212,136319
213,137601
214,138889
215,140183
216,141483
217,142789
218,144101
219,145419
220,146743
221,148073
222,149409
223,150751
224,152099
225,153453
226,154813
227,156179
228,157551
229,158929
230,160313
231,161703
232,163099
233,164501
234,165909
235,167323
236,168743
237,170169
238,171601
239,173039
240,174483
241,175933
242,177389
243,178851
244,180319
245,181793
246,183273
247,184759
248,186251
249,187749
250,189253
251,190763
252,192279
253,193801
254,195329
255,196863
